음향신호관리번호,지주관리번호,방향,제조회사,시설번호,표출구분,종류,상태,이력ID,위치정보,경도,위도
24-0000010295,02-0000025957,180,-,-,1,1,001,15023,1  ,126.91559249116025,37.47669400530849
24-0000012512,02-0000164611,0  ,-,-,2,1,001,17240,1  ,127.08662617197344,37.59176837676934
24-0000010308,02-0000087079,180,-,-,2,1,001,15036,1  ,127.04384103404585,37.66973071132192
24-0000012515,02-0000164605,0  ,-,-,2,1,001,17243,1  ,127.08619817456979,37.59201207145918
24-0000012524,02-0000081308,0  ,-,-,2,1,001,17252,1  ,127.0797940118681,37.581188332289074
24-0000009474,02-0000016205,180,대한신호㈜,-,2,1,001,14202,1  ,126.96865122949852,37.48590393303241
24-0000010548,02-0000155725,180,-,-,1,1,001,15276,1  ,127.0429549069805,37.51242561899504
24-0000002174,02-0000016201,315,한국전기교통,0,2,1,001,1773,1  ,126.97257142603785,37.4840521065446
24-0000012369,02-0000156496,180,신흥IND,-,2,1,001,17097,1  ,126.91695481784355,37.623614329659496
24-0000016141,02-0000016200,-,양광시스템,-,2,1,001,20869,-,126.97246575954543,37.48390374390752
24-0000010580,02-0000171299,180,(주)한길HC,-,2,1,001,15308,1  ,127.13129813530456,37.48281117810995
24-0000002168,02-0000016195,180,대한신호㈜,-,2,1,001,1761,1  ,126.97423065866559,37.48319962589713
24-0000016924,02-0000154793,-,대한신호㈜,-,2,1,001,21652,-,126.9741684959024,37.483163611992474
24-0000009153,02-0000176635,180,-,-,2,1,001,13881,1  ,126.86565581618358,37.52238356391986
24-0000000339,02-0000133186,180,-,-,1,1,001,10494,1  ,126.89302309076035,37.49814209278217
24-0000009134,02-0000176607,180,-,-,2,1,001,13862,1  ,126.8901533043788,37.52237036281302
24-0000009131,02-0000176604,180,대한신호,-,2,1,001,13859,1  ,126.89008450624863,37.522069388999896
24-0000009130,02-0000176603,180,-,-,2,1,001,13858,1  ,126.8899302665922,37.52217610955897
24-0000009129,02-0000176602,180,대한신호,-,2,1,001,13857,1  ,126.88981325592282,37.52219895856995
24-0000009204,02-0000173687,180,대한신호,-,2,1,001,13932,1  ,126.89259477299977,37.50676079073093
24-0000009158,02-0000061127,180,대한신호,-,2,1,001,13886,1  ,126.8527163073568,37.52096550192944
24-0000002169,02-0000131557,90 ,대한신호㈜,0,2,1,001,1763,1  ,126.97435285148288,37.48336915473864
24-0000009173,02-0000067388,180,한길HC,-,2,1,001,13901,1  ,126.84719900993329,37.530788192257354
24-0000007784,02-0000171645,0  ,신흥IND,0,2,1,001,13274,1  ,126.94469306819211,37.5884991496416
24-0000009445,02-0000156932,180,-,-,2,1,001,14173,1  ,126.94410282303633,37.51375949484677
24-0000012074,02-0000182665,180,대한신호,-,2,1,001,16802,1  ,127.00735026501614,37.510694719132246
24-0000001240,02-0000061168,180,신흥IND,-,2,1,001,5211,1  ,126.97249578280307,37.54215205265354
24-0000010729,02-0000150568,180,-,-,2,1,001,15457,1  ,126.92350315953362,37.55171274956539
24-0000010746,02-0000166059,180,에스에이치테크,-,2,1,001,15474,1  ,127.17093804430195,37.54612886091971
24-0000009851,02-0000178500,180,대한신호(주),-,2,1,001,14579,1  ,127.03525416007884,37.61176513034612
24-0000008834,02-0000175722,180,관급,0,1,1,001,13727,1  ,127.06179840727616,37.51138453320546
24-0000002571,02-0000039318,180,(주)대한신호,-,2,1,001,3890,1  ,127.05664746349896,37.51986568800672
24-0000009798,02-0000115426,180,(주)한길에이치씨,-,2,1,001,14526,1  ,127.09045427095423,37.61759603271448
24-0000009967,02-0000005688,180,대한신호(주),-,2,1,001,14695,1  ,126.90140359512391,37.5656412903476
24-0000009796,02-0000118897,180,(주)한길에이치씨,-,2,1,001,14524,1  ,127.08802721861652,37.61873049766979
24-0000001490,02-0000007244,180,㈜대한신호,-,2,1,001,767,1  ,126.9198645262248,37.58790781913581
24-0000009489,02-0000177417,180,-,-,2,1,001,14217,1  ,126.84726374958151,37.52315034442918
24-0000016567,02-0000175557,-,-,-,2,1,001,21295,-,126.9141347492209,37.55920339509739
24-0000009510,02-0000101634,180,-,-,2,1,001,14238,1  ,126.86999283612747,37.51876674310381
24-0000007467,02-0000169682,180,㈜대한신호,0,2,1,001,13026,1  ,126.91738717957404,37.590077261329725
24-0000009528,02-0000067400,180,-,-,2,1,001,14256,1  ,126.81713524986033,37.57624956721451
24-0000009529,02-0000067399,180,-,-,2,1,001,14257,1  ,126.81712458974049,37.57604949444127
24-0000009531,02-0000062958,180,-,-,2,1,001,14259,1  ,126.86314692250326,37.55707213581091
24-0000016566,02-0000175556,-,-,-,2,1,001,21294,-,126.91409923664678,37.559328945694304
24-0000007468,02-0000169683,180,㈜대한신호,0,2,1,001,13028,1  ,126.91730178343961,37.58993853711934
24-0000009542,02-0000177478,180,-,-,1,1,001,14270,1  ,126.85066236357744,37.56733544746432
24-0000001921,02-0000095550,180,-,-,1,1,001,7850,1  ,126.91707868147166,37.61122317644187
24-0000007469,02-0000169683,270,㈜대한신호,0,2,1,001,13027,1  ,126.91729039337132,37.589929656090426
24-0000009564,02-0000174819,180,-,-,2,1,001,14292,1  ,126.84473770825296,37.55814371756348
24-0000016565,02-0000001167,-,-,-,2,1,001,21293,-,127.00247973891088,37.56305425500683
24-0000006141,02-0000158597,180,㈜대한신호,0,2,1,001,11827,1  ,126.91496483375803,37.595791653390926
24-0000009404,02-0000177290,180,㈜대한신호,-,2,1,001,14132,1  ,126.91406472987777,37.592312257035935
24-0000016564,02-0000001167,-,-,-,2,1,001,21292,-,127.00249742383923,37.56304806028324
24-0000005931,02-0000160367,180,㈜대한신호,-,2,1,001,12033,1  ,126.91409385376527,37.612781910451474
24-0000016563,02-0000001166,-,-,-,2,1,001,21291,-,127.00279750647604,37.56308251666957
24-0000009961,02-0000163244,180,대한신호(주),-,2,1,001,14689,1  ,126.90639721181812,37.59216773250647
24-0000009952,02-0000157154,180,대한신호(주),-,2,1,001,14680,1  ,126.92512571218383,37.64632071116304
24-0000009931,02-0000157463,180,대한신호(주),-,2,1,001,14659,1  ,126.91908554961083,37.63031153727864
24-0000009929,02-0000157458,180,대한신호(주),-,2,1,001,14657,1  ,126.91944150941575,37.630247041353776
24-0000009922,02-0000008866,180,대한신호(주),-,2,1,001,14650,1  ,126.93132673105464,37.60868055880795
24-0000001475,02-0000008866,180,삼일안전시스템,-,1,1,001,906,1  ,126.93127726422665,37.608654704234624
24-0000006784,02-0000105047,180,삼일안전시스템,0,1,1,001,8705,1  ,126.93147986464243,37.60899119072153
24-0000006786,02-0000008867,180,삼일안전시스템,0,1,1,001,908,1  ,126.93110563557178,37.60890094572811
24-0000016562,02-0000001166,-,-,-,2,1,001,21290,-,127.00280741081052,37.56309997324117
24-0000002000,02-0000004112,180,한길HC,-,2,1,001,435,1  ,126.91651104718731,37.56021486090195
24-0000016561,02-0000103945,-,-,-,2,1,001,21289,-,127.00281407213438,37.56341126735627
24-0000010954,02-0000038129,0  ,(주)한길HC,-,2,1,001,15682,1  ,127.03416171793002,37.52147023346399
24-0000001102,02-0000041366,180,-,-,1,1,001,4011,1  ,127.0688443589751,37.48945763844731
24-0000009621,02-0000177885,180,-,-,1,1,001,14349,1  ,127.0655954720511,37.50528450691275
24-0000011003,02-0000177797,0  ,(주)한길HC,-,2,1,001,15731,1  ,127.05837541824347,37.47616964476936
24-0000001061,02-0000035632,180,-,-,1,1,001,3584,1  ,127.05256801672729,37.48294794787448
24-0000001378,02-0000037106,180,-,-,1,1,001,3713,1  ,127.09775219547656,37.48577304455477
24-0000010979,02-0000037745,0  ,(주)한길HC,-,2,1,001,15707,1  ,127.02128644626588,37.523458085246176
24-0000010974,02-0000176011,0  ,(주)대한신호,-,2,1,001,15702,1  ,127.04140244572,37.51737234375191
24-0000008419,02-0000173760,135,.,0,1,1,001,13586,1  ,127.035190278302,37.515673627945375
24-0000001055,02-0000037178,180,정우신호테크,-,1,1,001,3723,1  ,127.0678334203769,37.50098211357123
24-0000004027,02-0000007375,180,-,-,2,1,001,784,1  ,126.94875060289796,37.542975365288996
24-0000009346,02-0000157134,180,-,-,2,1,-,14074,1  ,127.0118028663395,37.50825817909361
24-0000009349,02-0000018085,180,-,-,2,1,001,14077,1  ,127.01146330574954,37.508293007900186
24-0000009368,02-0000143263,180,-,-,1,1,001,14096,1  ,127.0435459727406,37.46601256540573
24-0000009424,02-0000001580,180,-,-,2,1,001,14152,1  ,126.95994717179767,37.57222700053614
24-0000009413,02-0000177306,180,한길HC,-,2,1,001,14141,1  ,126.90039256184345,37.55647645786202
24-0000009410,02-0000177297,180,한길HC,-,2,1,001,14138,1  ,126.91303940702798,37.59331986475804
24-0000009397,02-0000177276,180,한길,-,2,1,001,14125,1  ,126.918170468025,37.593808064160015
24-0000009393,02-0000177255,180,한길,-,2,1,001,14121,1  ,126.91794094046324,37.593734699245275
24-0000014436,02-0000095264,180,한길에이치씨,-,2,1,001,19164,1  ,126.93280626157403,37.52679782118917
24-0000010039,02-0000064496,180,-,-,2,1,001,14767,1  ,126.89681814415371,37.525934074903205
24-0000010082,02-0000034311,180,-,-,2,1,001,14810,1  ,126.88595391413696,37.48537439543103
24-0000010074,02-0000097431,180,-,-,2,1,001,14802,1  ,126.88413233181672,37.49066055380584
24-0000010084,02-0000144826,180,-,-,2,1,001,14812,1  ,126.89045018098122,37.48401569537693
24-0000010536,02-0000140156,180,-,-,2,1,001,15264,1  ,127.03462303785929,37.58838596469244
24-0000010675,02-0000060489,180,한길HC,-,2,1,001,15403,1  ,126.88969238945879,37.5211598754263
24-0000001114,02-0000041515,180,0,-,1,1,001,4031,1  ,127.07386535855663,37.48888520167743
24-0000001114,02-0000041515,180,-,-,1,1,001,4032,1  ,127.07386535855663,37.48888520167743
24-0000001131,02-0000041598,180,-,-,1,1,001,4034,1  ,127.04676618931974,37.494488862417384
24-0000000142,02-0000041610,180,-,-,1,1,001,4035,1  ,127.09272372575893,37.511786151551696
24-0000004213,02-0000041619,180,진우산전,-,2,1,001,4036,1  ,127.09339046063256,37.510385868214534
24-0000000902,02-0000041628,180,-,-,1,1,001,4037,1  ,127.09653761562085,37.510152163221065
24-0000000903,02-0000041630,180,(주)대한신호,-,2,1,001,4038,1  ,127.09664901035794,37.50993758773595
24-0000000904,02-0000041632,180,(주)한길HC,-,2,1,001,4039,1  ,127.09734815677791,37.50984319654511
24-0000000907,02-0000041634,180,(주)한길HC,-,2,1,001,4040,1  ,127.09771906802501,37.50982054931052
