교차로번호,교차로명,연동교차로코드,구코드,지번,계량기번호,도로구분,경도,위도
1265,충무교(연등),1264,620,94-175대,-,002,126.93651153335682,37.47525200307047
1266,신림2교,0,620,808-133천,-,001,126.93738797783853,37.47708132980385
1267,신본교,0,620,산164-2 임,-,002,126.93499053030119,37.47752479220114
1268,신림1교(연등),1269,-,-,-,002,126.82092197539465,37.60750464931744
1269,신림1교,0,620,87-22대,-,002,126.93210735647136,37.47884452125398
1270,신림교입구(연등),1271,620,1642-9도,-,001,126.93014279995467,37.480878371242525
1271,신림교입구,0,620,1642-9도,-,001,126.92987426669859,37.48241171851156
1272,가야쇼핑,0,620,970-1대,-,001,126.92934985035191,37.486267008017535
1273,가야쇼핑(연등),1272,620,692-8학,-,001,126.92878351348642,37.48756376109032
1274,관악노인복지관,0,620,342-57도,-,001,126.92681226889395,37.492508232421144
1275,동산교회,0,620,1641-24대,-,002,126.92947917512396,37.479078351871934
1276,신림초교,0,620,1642-8도,-,002,126.9280786833725,37.479382757468585
1277,신림초교(연등),1276,620,1642-7천,-,002,126.92742944434322,37.4792647379729
1278,신림교,0,620,1642-14도,-,002,126.92871636932816,37.48164020191978
1279,남도전기,1280,620,1021대,-,001,126.95387308945304,37.486068969604396
1280,행복한감리교회,0,620,1712 대,-,001,126.95172677390498,37.48639779061643
1281,국민은행관악,1282,620,1712 대,-,001,126.94882928112963,37.486701115859745
1282,현대시장,0,620,502-1도,-,001,126.94693869454034,37.486918926885004
1283,구암지구대(연등)2,1284,620,491-5 학,-,001,126.94561820192827,37.48698733138976
1284,구암지구대,0,620,1718-11 도,-,001,126.94488980440997,37.48689144523136
1285,봉천119안전센터,1286,620,982-3도,-,001,126.94069816671858,37.48612010170356
1286,국회단지길입구,0,620,982-3도,-,001,126.93937571956293,37.48619467664944
1287,국회단지길입구(연등)1,1286,620,산 104-9 공,-,001,126.93810050180839,37.486280852020144
1288,GS슈퍼마켓(연등),3941,620,870-12대,-,001,126.95018503610943,37.47890886077442
1289,영락고교입구(연등),1290,620,884-27대,-,001,126.94749761151901,37.47918295318848
1290,영락고교입구,0,620,893-27대,-,001,126.94588678346442,37.47933583333464
1291,E편한세상서울대입구,1292,620,912-16대,-,001,126.94448102144818,37.47948525882075
1292,관악성모의원,0,620,979-7도,-,001,126.9423655441603,37.47966244506865
1293,쑥고개,0,620,1693-13도,-,001,126.94000964016905,37.478407713020474
1294,삼성동주민센터(연등)2,1295,620,112-42대,-,001,126.93320708046093,37.47013273868694
1295,삼성동주민센터,0,620,808-1천,-,001,126.9327370056155,37.46926918777148
1296,삼성동주민센터(연등)1,1295,620,808-418천,-,001,126.93194108430585,37.467812521232034
1297,미림여고(연등)1,0,620,산66-3도,-,001,126.93140562458568,37.46627233908361
1298,미림여고,1297,620,808-505 천,-,001,126.93144479368473,37.465405006239436
1299,삼성동자치회관(연등)1,1300,620,305-37도,-,001,126.9315030110287,37.46466758540292
1300,삼성동자치회관,0,620,310-5도,-,001,126.9316509814329,37.46390447387143
1301,신우초교,0,620,306-50대,-,001,126.93196136343335,37.46159360067242
1302,삼성산성지,0,620,321-12 천,-,001,126.92962460422478,37.45859842527833
1303,국제산장아파트,0,620,산78-8도,-,001,126.92735786550035,37.46007956640463
1304,난향삼거리(연등),5376,620,산87-11도,-,001,126.92562417514459,37.46101513658082
1305,인헌초교,0,620,1679-9 대,-,001,126.95906026446893,37.47624174810896
1306,서울대교수아파트,0,620,266공,-,001,126.95793741285335,37.46855846589723
1307,낙성현대홈타운,0,620,0-61 가,-,002,126.96376688898656,37.4796097906514
1308,호림박물관입구,0,620,526도,-,001,126.91837872232406,37.48250596837552
1309,금천경찰서(연등)1,1310,620,543도,-,001,126.91226543332498,37.48141037695384
1310,제이타워웨딩,0,620,1722 대,-,001,126.91021941980668,37.48104760538078
1311,금천수요양병원,0,620,569-48대,-,001,126.9066383772962,37.48039366476929
1312,구로전화국(연등),630,620,1656대,-,001,126.90259265784236,37.479644451006436
1314,구로디지털단지역,0,620,1122도,-,001,126.90278556909145,37.484491440353096
1315,독산고개,0,540,146-12대,-,001,126.8985978693038,37.475776115791284
1316,독산고개(연등),1315,540,967-14대,-,001,126.89842813361369,37.473754651076256
1317,군부대앞,0,540,1056-4대,-,001,126.89812604208936,37.46088878609787
1318,문일중고,0,540,1000-92도,-,001,126.90185310543065,37.45139293282012
1319,유통상가정문,0,540,1001-9도,-,001,126.90377454582492,37.4437886995044
1321,박미삼거리(연등)1,266,540,1000-92도,-,001,126.90340751297965,37.447286559287846
1264,충무교,0,620,839-4도,-,002,126.93554254826294,37.47415427105352
1322,유통상가정문(연등),1319,540,1001-11도,-,001,126.90361469719673,37.44262357196724
1323,SK주유소,667,540,1001-34도,-,001,126.90304281093997,37.43742549429603
1324,석수역,0,540,962-8대,-,001,126.90301618622128,37.43603573868186
1325,백산초교,0,540,896-11대,-,001,126.9047680863552,37.44897839369384
1326,백산초교(연등),1325,540,837-44대,-,001,126.9056815412882,37.44988154995157
1327,대우당약국,0,540,1000-118도,-,001,126.90591514432278,37.45083230494237
1328,은행나무사거리,0,540,1000-99도,-,001,126.90599933066721,37.45224584938524
1329,은행나무사거리(연등),1328,540,1000-101도,-,001,126.90697325013168,37.45182554672918
1330,관악농협,0,540,1000-123구,-,001,126.90971688604589,37.450711805223946
1331,범일운수(연등)1,5350,540,218-9대,-,001,126.91147888201257,37.45044320396251
1332,동일여고,0,540,266-2363대,-,001,126.91417160838083,37.45005777460821
1333,벽산6단지입구,0,540,1010-18도,-,001,126.9179507198721,37.44980736088734
1334,도성교회,0,540,1010-18도,-,001,126.91964573599792,37.449982246796544
1335,관악벽산타운1단지,0,540,산100-1임,-,001,126.92080002496883,37.45244313576581
1336,난곡사,0,620,산93-8 도,-,001,126.92222121614581,37.45872947062915
1337,중앙사약국,0,540,846-11대,-,001,126.90323130595615,37.45392420818952
1338,시흥초교후문(연등),1340,540,1000-85도,-,001,126.90614331100014,37.4536995579114
1340,시흥초교후문,0,540,810-30대,-,001,126.9059030458408,37.455023390772325
1341,안씨묘입구(연등)2,1342,540,812-2대,-,001,126.90566031811181,37.456236821321475
1342,안씨묘입구,0,540,1000-18도,-,001,126.90548650236553,37.457236735503805
1343,법원단지,0,540,1000-2도,-,001,126.90500623305122,37.45950541252818
1344,법원단지(연등),1343,540,378-317대,-,001,126.90473147960446,37.46093625315568
1345,시흥4동사거리,0,540,1081-20도,-,001,126.90405007773778,37.462747160516976
1346,시흥4동사거리(연등)1,1345,540,1039-2대,-,001,126.90328429742858,37.46387726376403
1347,정훈단지,0,540,1022-54대,-,001,126.9027816063384,37.46463887430425
1348,정훈단지(연등),1347,540,1021-31대,-,001,126.90223884023088,37.465443825673795
1349,독산4동사거리,0,540,1081-16도,-,001,126.90172678885662,37.46646542711898
1350,독산4동사거리(연등)1,1349,540,1081-15도,-,001,126.90198825763757,37.467765343261995
1351,독산4동사거리(연등)2,1349,540,1081-15도,-,001,126.90232147091474,37.468858520303996
1352,독산4동삼거리(연등)2,116,540,193-32도,-,001,126.90267640281552,37.46987601306175
1353,남서울주유소(연등),1354,540,974-20대,-,001,126.90319505061792,37.472351629843
